"Name","context","affiliation"
"Clemens Schmid","caa_2018_participant","CAU Kiel"
"Martin Hinz","caa_2018_participant","CAU Kiel"
"Oliver Nakoinz","caa_2018_participant","CAU Kiel"
"Carolin Tietze","caa_2018_participant","CAU Kiel"
"Nils Müller-Scheeßel","caa_2018_participant","CAU Kiel"
"Christoph Rinne","caa_2018_participant","CAU Kiel"
"Joe Roe","caa_2018_participant","UCL"
"Ben Marwick","caa_2018_participant","University of Washington"
"Sophie C. Schmidt","caa_2018_participant","Universität zu Köln"
"Néhémie Strupler","caa_2018_participant",
"Francesco Carrer","caa_2018_participant","University of York"
"Georg Roth","caa_2018_participant","FU Berlin"
"Marie Philippe","caa_2018_participant","Université de Bourgogne"
"James Scott Cardinal","caa_2018_participant",
"Juan Antonio Barceló","caa_2018_participant","Universidad Autónoma de Barcelona"
"Miquel Colobran","caa_2018_participant","Universidad Autónoma de Barcelona"
"Benjamin Davies","caa_2018_participant","University of Auckland"
"Iza Romanowska","caa_2018_participant"," Barcelona Supercomputing Center"
"Marta Krzyzanska","caa_2018_participant","UCL"
"Jan Johannes Ahlrichs","caa_2018_participant","Eberhard Karls Universität Tübingen"
"Karsten Schmidt","caa_2018_participant","Eberhard Karls Universität Tübingen"
"Lizzie Scholtus","caa_2018_participant","  Université de Strasbourg"
"Agnes Schneider","caa_2018_participant","University Marburg"
"Dirk Seidensticker","caa_2018_participant","Eberhard Karls Universität Tübingen"
"Elisa Dalla Longa","Summer School Noer 2013","Università degli Studi di Padova"
"Jan Kolář","Summer School Noer 2013","Academy of Sciences of the Czech Republic"
"Hendaya Serrano Gil","Summer School Noer 2013","Universitat Autònoma de Barcelona"
"Arne Windler","Summer School Noer 2013","Deutsches Bergbau-Museum, Bochum"
"René Ohlrau","Summer School Noer 2013","CAU Kiel"
"Catalin Popa","Summer School Noer 2013","Universiteit Leiden"
"Benedikt Grammer","Mosaic 2016","Universität Wien"
"Julian Laabs","Mosaic 2016","Universität Bern"
"Alexander Veling","Mosaic 2016","topoi"
"Clara Filet","Mosaic 2016","Université Paris 1"
"Asli Oflaz","Mosaic 2016","CAU Kiel"
"Bianka Nessel","Mosaic 2016","Uni Heidelberg"
"Katerina Ragkou","Mosaic 2016","Universität zu Köln"
"Amanda Gabriel","Mosaic 2016","University of Basel"
"Carolin Frank","Mosaic 2016","Universität Heidelberg"
"Ricarda Braun","Mosaic 2016","topoi"
"Jasmin Rauhaus","Mosaic 2016","Eberhard Karls Universität Tübingen"
"Nicole Grunert","Mosaic 2016","CAU Kiel"
"Lennart Linde","Mosaic 2016","Universität Frankfurt"
"Giulia Russo","Mosaic 2016","Eberhard Karls Universität Tübingen"
"Franz Becker","Mosaic 2016","Universität Frankfurt"
"Will Kennedy","Mosaic 2016","topoi"
"Michelle W. de Gruchy","Mosaic 2016","Durham University"
"Martin Riesenberg","Topoi Lesezirkel","topoi"
"Kai Radloff","Berlin Landscape archaeology","topoi"
"David Matzig","Student Uni Kiel","CAU Kiel"
"Jan-Eric Schlicht","Student Uni Kiel","CAU Kiel"
